parentID;ID;code;name;hasGrain;length;width;thickness;quantity;units;coverSide;type;materialType;materialCode;colorCode
;1;182371_KE_11_S66kla_riiul;;;;;;1;;;Assembly;;;
1;2;VY_moodul;;;;;;1;;;Assembly;;;
2;3;VY_vasak_kylg;;False;1078;452;38;1;;;Part;;;
3;4;VY_vasak_kylg WP 1;WP of ;False;1098;452;38;0,496;m²;;Fill Workpiece;Laminated Board;L_V_PLP;AR_0666
3;6;VY_vasak_kylg WP 2;WP of ;False;1078;38;1;1,078;m;Back;Cover Workpiece;Edge Band;ABS;AR_0666
2;8;VY_lagi;;False;1056;452;38;1;;;Part;;;
8;9;VY_lagi WP 1;WP of ;False;1076;452;38;0,486;m²;;Fill Workpiece;Laminated Board;L_V_PLP;AR_0666
8;11;VY_lagi WP 2;WP of ;False;1056;38;1;1,056;m;Front;Cover Workpiece;Edge Band;ABS;AR_0666
2;13;VY_tagasein;;False;1078;1056;18;1;;;Part;;;
13;14;VY_tagasein WP 1;WP of ;False;1056;1078;18;1,138;m²;;Fill Workpiece;Laminated Board;L_V_PLP;AR_0666
2;16;VY_parem_kylg;;False;1040;434;18;1;;;Part;;;
16;17;VY_parem_kylg WP 1;WP of ;False;1040;434;18;0,451;m²;;Fill Workpiece;Laminated Board;L_V_PLP;AR_0666
2;45;puit_tyybel_8x35;;;;;;2;;;Purchased;;;
2;20;Minifix polt ø5x24 Häfele;P;;;;;3;;;Purchased;;;
2;21;Minifix ekstsentrik ø15x18 Häfele;EX;;;;;3;;;Purchased;;;
1;22;VA_moodul;;;;;;1;;;Assembly;;;
22;23;VA_p6hi;;False;1056;452;38;1;;;Part;;;
23;24;VA_p6hi WP 1;WP of ;False;1076;452;38;0,486;m²;;Fill Workpiece;Laminated Board;L_V_PLP;AR_0666
23;26;VA_p6hi WP 2;WP of ;False;1056;38;1;1,056;m;Front;Cover Workpiece;Edge Band;ABS;AR_0666
22;28;VA_vasak_kylg;;False;2254;452;38;1;;;Part;;;
28;29;VA_vasak_kylg WP 1;WP of ;False;2274;452;38;1,028;m²;;Fill Workpiece;Laminated Board;L_V_PLP;AR_0666
28;31;VA_vasak_kylg WP 2;WP of ;False;2254;38;1;2,254;m;Back;Cover Workpiece;Edge Band;ABS;AR_0666
22;33;VA_lagi;;False;1000;451;38;1;;;Part;;;
33;34;VA_lagi WP 1;WP of ;False;1000;451;38;0,451;m²;;Fill Workpiece;Laminated Board;L_L_PLP;AR_0666
33;36;VA_lagi WP 2;WP of ;False;1000;38;1;1;m;Front;Cover Workpiece;Edge Band;ABS;AR_0666
22;38;VA_parem_kylg;;False;2216;434;18;1;;;Part;;;
38;39;VA_parem_kylg WP 1;WP of ;False;2216;434;18;0,962;m²;;Fill Workpiece;Laminated Board;L_V_PLP;AR_0666
22;41;VA_riiul;;False;1000;451;38;1;;;Part;;;
41;42;VA_riiul WP 1;WP of ;False;1000;451;38;0,451;m²;;Fill Workpiece;Laminated Board;L_L_PLP;AR_0666
41;44;VA_riiul WP 2;WP of ;False;1000;38;1;1;m;Front;Cover Workpiece;Edge Band;ABS;AR_0666
22;46;VA_vasak_tagasein;;False;2254;1056;18;1;;;Part;;;
46;47;VA_vasak_tagasein WP 1;WP of ;False;2254;1056;18;2,38;m²;;Fill Workpiece;Laminated Board;L_V_PLP;AR_0666
22;49;VA_sokkel;;False;1056;80;48;1;;;Part;;;
49;50;VA_sokkel WP 1;WP of ;False;1056;80;48;0,084;m²;;Fill Workpiece;Board;PLP;
49;52;VA_sokkel WP 2;WP of ;False;1056;48;1;1,056;m;Front;Cover Workpiece;Edge Band;ABS;AR_0666
22;45;puit_tyybel_8x35;;;;;;10;;;Purchased;;;
