Parent;ItemNumber;Item Code;Item Name;Color Code;Color Name;Has Grain;Length;Width;Thickness;Quantity;Material Quantity;Units;CoverSide;Item Type;Material Type;Material Code;Color Code
;1;G_SKD_64_Sofa;G_SKD_64_Sofa;;;;;;;1;;;;Assembly;;;
1;2;moodul;moodul;;;;;;;6;;;;Assembly;;;
2;3;taust;taust;;;;;;;1;;;;Assembly;;;
3;4;tausta_lagi;tausta_lagi;;;True;1826;152;40;1;;;;Part;;;
4;5;WP of tausta_lagi;WP of tausta_lagi;;;True;1846;170;40;0,313;0,313;m²;;Fill Workpiece;Laminated Board;L_L_MDF;HP_282137
4;7;WP of tausta_lagi;WP of tausta_lagi;;;False;1830;40;1;1,83;1,83;m;Left, Back, Right;Cover Workpiece;Edge Band;ABS;HP_282137
4;9;WP of tausta_lagi;WP of tausta_lagi;;;False;1807;40;1;1,807;1,807;m;Front;Cover Workpiece;Edge Band;ABS;HP_282137
3;11;tausta_tagapaneel;tausta_tagapaneel;;;True;1820;860;13;1;;;;SheetMetal Part;;;
11;12;WP of tausta_tagapaneel;WP of tausta_tagapaneel;;;True;880;1840;13;1,619;1,619;m²;;Fill Workpiece;Laminated Board;L_V_VIN;HP_282137
3;14;tausta_kaarserv;tausta_kaarserv;;;True;1815;102;12;2;;;;Part;;;
14;15;WP of tausta_kaarserv;WP of tausta_kaarserv;;;True;1825;112;12;0,204;0,204;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
3;17;tausta_vahesein;tausta_vahesein;;;True;836;50;12;7;;;;Part;;;
17;18;WP of tausta_vahesein;WP of tausta_vahesein;;;True;836;50;12;0,042;0,042;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
2;20;soklikast;soklikast;;;;;;;1;;;;Assembly;;;
20;21;soklikasti_esipaneel;soklikasti_esipaneel;;;True;1660;150;13;1;;;;SheetMetal Part;;;
21;22;WP of soklikasti_esipaneel;WP of soklikasti_esipaneel;;;True;160;1670;13;0,267;0,267;m²;;Fill Workpiece;Laminated Board;L_V_VIN;HP_282137
21;24;WP of soklikasti_esipaneel;WP of soklikasti_esipaneel;;;False;150;13;1;0,15;0,15;m;Front;Cover Workpiece;Edge Band;ABS;HP_282137
21;26;WP of soklikasti_esipaneel;WP of soklikasti_esipaneel;;;False;150;13;1;0,15;0,15;m;Back;Cover Workpiece;Edge Band;ABS;HP_282137
20;28;soklikasti_esiserv;soklikasti_esiserv;;;True;1681;147;12;1;;;;Part;;;
28;29;WP of soklikasti_esiserv;WP of soklikasti_esiserv;;;True;1691;157;12;0,266;0,266;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
20;31;soklikasti_tagaserv;soklikasti_tagaserv;;;True;1803;151;12;1;;;;Part;;;
31;32;WP of soklikasti_tagaserv;WP of soklikasti_tagaserv;;;True;1813;161;12;0,292;0,292;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
20;34;soklikasti_vahesein;soklikasti_vahesein;;;True;637;138;12;7;;;;Part;;;
34;35;WP of soklikasti_vahesein;WP of soklikasti_vahesein;;;True;637;138;12;0,088;0,088;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
2;37;iste;iste;;;;;;;1;;;;Assembly;;;
37;38;positsiooni_liist;positsiooni_liist;;;True;200;12;40;4;;;;Part;;;
