Parent;ItemNumber;Item Code;Item Name;Color Code;Color Name;Has Grain;Length;Width;Thickness;Quantity;Material Quantity;Units;CoverSide;Item Type;Material Type;Material Code;Color Code
;1;182683_Kapp_valge;;;;;;;;1;;;;Assembly;;;
1;2;Kapp_valge;;;;;;;;1;;;;Assembly;;;
2;22;sahtel_valge;;;;;;;;2;;;;Assembly;;;
22;23;sahtli_p6hi_valge;;;;False;308;240;16;1;;;;Part;;;
23;24;sahtli_p6hi_valge WP 1;WP of ;;;False;240;308;16;0,074;0,074;m²;;Fill Workpiece;Laminated Board;MEL;EG_W980
22;26;sahtli_vasak_kylg_valge;;;;False;240;86;16;1;;;;Part;;;
26;27;sahtli_vasak_kylg_valge WP 1;WP of ;;;False;240;86;16;0,021;0,021;m²;;Fill Workpiece;Laminated Board;MEL;EG_W980
26;29;sahtli_vasak_kylg_valge WP 2;WP of ;;;False;240;16;1;0,24;0,24;m;Back;Cover Workpiece;Edge Band;ABS;EG_W980
26;31;sahtli_vasak_kylg_valge WP 3;WP of ;;;False;240;16;1;0,24;0,24;m;Front;Cover Workpiece;Edge Band;ABS;EG_W980
22;33;sahtli_parem_kylg_valge;;;;False;240;86;16;1;;;;Part;;;
33;34;sahtli_parem_kylg_valge WP 1;WP of ;;;False;240;86;16;0,021;0,021;m²;;Fill Workpiece;Laminated Board;MEL;EG_W980
33;36;sahtli_parem_kylg_valge WP 2;WP of ;;;False;240;16;1;0,24;0,24;m;Front;Cover Workpiece;Edge Band;ABS;EG_W980
33;38;sahtli_parem_kylg_valge WP 3;WP of ;;;False;240;16;1;0,24;0,24;m;Back;Cover Workpiece;Edge Band;ABS;EG_W980
22;40;sahtli_tagatykk_valge;;;;False;308;56;16;1;;;;Part;;;
40;41;sahtli_tagatykk_valge WP 1;WP of ;;;False;308;56;16;0,017;0,017;m²;;Fill Workpiece;Laminated Board;MEL;EG_W980
40;43;sahtli_tagatykk_valge WP 2;WP of ;;;False;308;16;1;0,308;0,308;m;Back;Cover Workpiece;Edge Band;ABS;EG_W980
22;3;Tüübel 8x35;puittüübel 8x35;;;;;;;12;;;;Purchased;;;
2;3;tagasein_valge;;;;True;842;356;14;1;;;;Part;;;
3;4;tagasein_valge WP 1;WP of ;;;True;842;356;14;0,3;0,3;m²;;Fill Workpiece;Laminated Board;L_V_VIN;FE_NTM_0032
2;6;vahelagi_valge;;;;True;822;276;14;1;;;;Part;;;
6;7;vahelagi_valge WP 1;WP of ;;;True;822;276;14;0,227;0,227;m²;;Fill Workpiece;Laminated Board;L_L_VIN;FE_NTM_0032
2;9;vasak_esipaneel_valge;;;;True;408;158;14;1;;;;Part;;;
9;10;vasak_esipaneel_valge WP 1;WP of ;;;True;408;158;14;0,064;0,064;m²;;Fill Workpiece;Laminated Board;L_L_VIN;FE_NTM_0032
2;12;parem_vahesein_valge;;;;False;262;162;16;1;;;;Part;;;
12;13;parem_vahesein_valge WP 1;WP of ;;;False;262;162;16;0,042;0,042;m²;;Fill Workpiece;Laminated Board;MEL;EG_W980
12;15;parem_vahesein_valge WP 2;WP of ;;;False;162;16;1;0,162;0,162;m;Left;Cover Workpiece;Edge Band;ABS;EG_W980
2;17;vasak_vahesein_valge;;;;False;262;162;16;1;;;;Part;;;
17;18;vasak_vahesein_valge WP 1;WP of ;;;False;262;162;16;0,042;0,042;m²;;Fill Workpiece;Laminated Board;MEL;EG_W980
17;20;vasak_vahesein_valge WP 2;WP of ;;;False;162;16;1;0,162;0,162;m;Right;Cover Workpiece;Edge Band;ABS;EG_W980
2;45;parem_esipaneel_valge;;;;True;408;158;14;1;;;;Part;;;
45;46;parem_esipaneel_valge WP 1;WP of ;;;True;408;158;14;0,064;0,064;m²;;Fill Workpiece;Laminated Board;L_L_VIN;FE_NTM_0032
2;48;v2liskesta_pinnalaotus_valge;;;;True;1510;290;14;1;;;;Part;;;
48;49;v2liskesta_pinnalaotus_valge WP 1;WP of ;;;True;310;1530;14;0,474;0,474;m²;;Fill Workpiece;Laminated Board;L_L_VIN;FE_NTM_0032
2;3;Tüübel 8x35;puittüübel 8x35;;;;;;;8;;;;Purchased;;;
2;4;Puitriiuli kandur FLIPPER Ø15 mm, MF 257430 ja 257436;;;;;;;;4;;;;Purchased;;;
2;24;plekist_riiul_valge;;;;;;;;1;;;;Purchased;;;
2;25;Movento_250_right_valge;;;;;;;;2;;;;Purchased;;;
2;26;Movento_250_left_valge;;;;;;;;2;;;;Purchased;;;
