parentID;ID;code;name;comments;hasGrain;length;width;thickness;quantity;units;coverSide;type;materialType;materialCode;colorCode
;1;lett;;;;;;;1;;;Assembly;;;
1;3;moodul_Y1;;;;;;;1;;;Assembly;;;
3;4;Y1_esipaneel;;;True;1450;862;15;1;;;Part;;;
4;5;Y1_esipaneel WP 1;WP of ;;True;1450;862;15;1,25;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
4;7;Y1_esipaneel WP 2;WP of ;;False;;;0;0;m²;Bottom;Cover Workpiece;Paint;värv;RAL_9011
3;9;Y1_vasak_kylg;;;False;909;663;18;1;;;Part;;;
9;10;Y1_vasak_kylg WP 1;WP of ;;False;909;663;18;0,603;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
9;12;Y1_vasak_kylg WP 2;WP of ;;False;841;18;1;0,841;m;Back;Cover Workpiece;Edge Band;ABS;EG_F187
9;14;Y1_vasak_kylg WP 3;WP of ;;False;530;18;1;0,53;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
3;16;Y1_parem_kylg;;;False;909;663;18;1;;;Part;;;
16;17;Y1_parem_kylg WP 1;WP of ;;False;909;663;18;0,603;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
16;19;Y1_parem_kylg WP 2;WP of ;;False;841;18;1;0,841;m;Back;Cover Workpiece;Edge Band;ABS;EG_F187
16;21;Y1_parem_kylg WP 3;WP of ;;False;530;18;1;0,53;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
3;23;Y1_p6hi;;;False;1214;662;18;1;;;Part;;;
23;24;Y1_p6hi WP 1;WP of ;;False;1214;662;18;0,804;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
23;26;Y1_p6hi WP 2;WP of ;;False;1214;18;1;1,214;m;Back;Cover Workpiece;Edge Band;ABS;EG_F187
3;28;Y1_yhendus_paneel;;;False;400;200;18;1;;;Part;;;
28;29;Y1_yhendus_paneel WP 1;WP of ;;False;400;200;18;0,08;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
28;31;Y1_yhendus_paneel WP 2;WP of ;;False;400;18;1;0,4;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
3;33;Y1_lisatykk;;;False;200;65;18;1;;;Part;;;
33;34;Y1_lisatykk WP 1;WP of ;;False;200;65;18;0,013;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
3;36;Y1_yhendus_latt;;;False;823;120;18;1;;;Part;;;
