parentID;ID;code;name;hasGrain;length;width;thickness;quantity;units;coverSide;type;materialType;materialCode;colorCode
;1;Fuajee_piirded;;;;;;1;;;Assembly;;;
1;2;Tumm_piire_2;;;;;;1;;;Assembly;;;
2;3;tumma_piirde_riputusliist_2;;True;11420;80;20;1;;;Part;;;
3;4;tumma_piirde_riputusliist_2 WP 1;WP of ;True;11420;90;20;1,028;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
2;6;tumma_piirde_ylapuu_2;;True;11430;72;29;1;;;Part;;;
6;7;tumma_piirde_ylapuu_2 WP 1;WP of ;True;11430;72;29;11,43;m;;Fill Workpiece;Rod;TAMM;
2;9;tumma_piirde_lisakilp_2;;True;971;860;16;1;;;Part;;;
9;10;tumma_piirde_lisakilp_2 WP 1;WP of ;True;971;860;16;0,835;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
9;12;tumma_piirde_lisakilp_2 WP 2;WP of ;False;860;16;2;0,86;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
9;14;tumma_piirde_lisakilp_2 WP 3;WP of ;False;971;16;2;0,971;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
2;16;tumma_piirde_lisapaneel_2;;True;1805;860;16;1;;;Part;;;
16;17;tumma_piirde_lisapaneel_2 WP 1;WP of ;True;1805;860;16;1,552;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
16;19;tumma_piirde_lisapaneel_2 WP 2;WP of ;False;860;16;2;0,86;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
16;21;tumma_piirde_lisapaneel_2 WP 3;WP of ;False;1805;16;2;1,805;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
2;23;tumma_piirde_ots_2;;True;1075;20;16;1;;;Part;;;
23;24;tumma_piirde_ots_2 WP 1;WP of ;True;1075;20;16;0,022;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
2;26;tumma_piirde_kilp_2;;True;971;880;16;12;;;Part;;;
26;27;tumma_piirde_kilp_2 WP 1;WP of ;True;971;880;16;0,854;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
26;29;tumma_piirde_kilp_2 WP 2;WP of ;False;880;16;2;0,88;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
2;31;tumma_piirde_paneel_2;;True;1805;880;16;12;;;Part;;;
31;32;tumma_piirde_paneel_2 WP 1;WP of ;True;1805;880;16;1,588;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
31;34;tumma_piirde_paneel_2 WP 2;WP of ;False;880;16;2;0,88;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
2;36;tumma_piirde_riputi;;False;400;80;20;54;;;Part;;;
36;37;tumma_piirde_riputi WP 1;WP of ;False;400;90;20;0,036;m²;;Fill Workpiece;Board;PLP;
2;39;Tumma_piirde_metall_2;;;;;;1;;;Purchased;;;
1;40;Tumma_piirde_metall_1_3;;;;;;1;;;Assembly;;;
1;41;Tumm_piire_1;;;;;;1;;;Assembly;;;
41;42;tumma_piirde_lisakilp;;True;971;346;16;1;;;Part;;;
42;43;tumma_piirde_lisakilp WP 1;WP of ;True;971;346;16;0,336;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
42;45;tumma_piirde_lisakilp WP 2;WP of ;False;346;16;2;0,346;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
41;47;tumma_piirde_nurgakilp;;True;971;880;16;1;;;Part;;;
47;48;tumma_piirde_nurgakilp WP 1;WP of ;True;971;880;16;0,854;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
47;50;tumma_piirde_nurgakilp WP 2;WP of ;False;880;16;2;0,88;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
41;52;tumma_piirde_ylapuu_11;;True;12676;72;29;1;;;Part;;;
52;53;tumma_piirde_ylapuu_11 WP 1;WP of ;True;12676;72;29;12,676;m;;Fill Workpiece;Rod;TAMM;
41;55;tumma_piirde_kilp;;True;971;880;16;13;;;Part;;;
55;56;tumma_piirde_kilp WP 1;WP of ;True;971;880;16;0,854;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
55;58;tumma_piirde_kilp WP 2;WP of ;False;880;16;2;0,88;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
41;60;tumma_piirde_paneel_1;;True;1805;880;16;14;;;Part;;;
60;61;tumma_piirde_paneel_1 WP 1;WP of ;True;1805;880;16;1,588;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
60;63;tumma_piirde_paneel_1 WP 2;WP of ;False;880;16;2;0,88;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
41;65;tumma_piirde_riputusliist_1;;True;12450;80;20;1;;;Part;;;
65;66;tumma_piirde_riputusliist_1 WP 1;WP of ;True;12450;90;20;1,12;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
41;68;tumma_piirde_lisapaneel_1;;True;1805;310;16;1;;;Part;;;
68;69;tumma_piirde_lisapaneel_1 WP 1;WP of ;True;1805;310;16;0,56;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
68;71;tumma_piirde_lisapaneel_1 WP 2;WP of ;False;310;16;2;0,31;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
68;73;tumma_piirde_lisapaneel_1 WP 3;WP of ;False;1805;16;2;1,805;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
