Parent;ItemNumber;Item Code;Item Name;Color Code;Color Name;Has Grain;Length;Width;Thickness;Quantity;Material Quantity;Units;CoverSide;Item Type;Material Type;Material Code;Color Code
;1;Multipart;;;;True;1000;200;42;1;;;;Part;;;
1;2;Multipart_Toorik_1;_Toorik;;;True;1000;200;42;0,2;0,2;m²;;Composite Workpiece;Board;VIN_KASK_BB/BB;
2;3;pealmine_kiht;;;;True;1000;200;21;1;;;;Part;;;
3;4;pealmine_kiht WP 1;WP of ;;;True;1000;200;21;0,2;0,2;m²;;Fill Workpiece;Board;VIN_KASK_BB/BB;
2;6;alumine_kiht;;;;True;1000;200;21;1;;;;Part;;;
6;7;alumine_kiht WP 1;WP of ;;;True;1000;200;21;0,2;0,2;m²;;Fill Workpiece;Board;VIN_KASK_BB/BB;
1;10;Multipart WP 2;WP of ;;;False;200;42;2;0,2;0,2;m;Right;Cover Workpiece;Edge Band;ABS;EG_W980
1;12;Multipart WP 3;WP of ;;;False;1000;42;2;1;1;m;Back;Cover Workpiece;Edge Band;ABS;EG_W980
1;14;Multipart WP 4;WP of ;;;False;200;42;2;0,2;0,2;m;Left;Cover Workpiece;Edge Band;ABS;EG_W980
1;16;Multipart WP 5;WP of ;;;False;1000;42;2;1;1;m;Front;Cover Workpiece;Edge Band;ABS;EG_W980
